conv + conv + conv + fc + fc
resnet + resnet + resnet + fc + fc
inception + inception + inception + fc +fc

batchnormalization
maxpool

resnet
    i -> conv(relu) + conv(relu) -> i+o 


conv(8) + conv(16) + conv(32) + fc + fc
    Epoch 14, Perdida: 1.3863190412521362, Exactitud: 23.59375, Perdida de prueba: 1.3862645626068115, Exactitud de prueba: 25.0
    Epoch 15, Perdida: 1.3863204717636108, Exactitud: 22.890625, Perdida de prueba: 1.3864102363586426, Exactitud de prueba: 6.25
    Epoch 16, Perdida: 1.3863173723220825, Exactitud: 23.046875, Perdida de prueba: 1.3863694667816162, Exactitud de prueba: 12.5
    Epoch 17, Perdida: 1.3863176107406616, Exactitud: 23.203125, Perdida de prueba: 1.3862898349761963, Exactitud de prueba: 25.0
    Epoch 18, Perdida: 1.3863188028335571, Exactitud: 23.28125, Perdida de prueba: 1.3864670991897583, Exactitud de prueba: 6.25
    Epoch 19, Perdida: 1.3863146305084229, Exactitud: 23.515625, Perdida de prueba: 1.386123538017273, Exactitud de prueba: 56.25
    Epoch 20, Perdida: 1.3863155841827393, Exactitud: 23.28125, Perdida de prueba: 1.3862818479537964, Exactitud de prueba: 25.0

resnet
    Epoch 1, Perdida: 4.176461219787598, Exactitud: 33.90625, Perdida de prueba: 1.3995134830474854, Exactitud de prueba: 43.75
    Epoch 2, Perdida: 0.9888150095939636, Exactitud: 58.515625, Perdida de prueba: 0.9644172787666321, Exactitud de prueba: 56.25
    Epoch 3, Perdida: 0.62305748462677, Exactitud: 77.03125, Perdida de prueba: 0.3359328508377075, Exactitud de prueba: 87.5
    Epoch 4, Perdida: 0.37585577368736267, Exactitud: 86.875, Perdida de prueba: 0.1657433658838272, Exactitud de prueba: 100.0
    Epoch 5, Perdida: 0.20515623688697815, Exactitud: 95.0, Perdida de prueba: 0.09822417050600052, Exactitud de prueba: 100.0
    Epoch 6, Perdida: 0.09601084887981415, Exactitud: 98.75, Perdida de prueba: 0.04419773072004318, Exactitud de prueba: 100.0
    Epoch 7, Perdida: 0.05526866391301155, Exactitud: 99.375, Perdida de prueba: 0.06956414878368378, Exactitud de prueba: 100.0

resnet data aug
    Epoch 1, Perdida: 2.6806087493896484, Exactitud: 31.953126907348633, Perdida de prueba: 1.4162061214447021, Exactitud de prueba: 31.25
    Epoch 2, Perdida: 1.127462387084961, Exactitud: 52.734375, Perdida de prueba: 0.790298581123352, Exactitud de prueba: 81.25
    Epoch 3, Perdida: 0.8737665414810181, Exactitud: 63.828121185302734, Perdida de prueba: 0.4779682755470276, Exactitud de prueba: 81.25
    Epoch 4, Perdida: 0.5086267590522766, Exactitud: 82.03125, Perdida de prueba: 0.42619451880455017, Exactitud de prueba: 87.5
    Epoch 5, Perdida: 0.27108263969421387, Exactitud: 92.1875, Perdida de prueba: 0.1458672732114792, Exactitud de prueba: 100.0
    Epoch 6, Perdida: 0.10055828094482422, Exactitud: 98.203125, Perdida de prueba: 0.06340182572603226, Exactitud de prueba: 100.0
    Epoch 7, Perdida: 0.06398278474807739, Exactitud: 98.359375, Perdida de prueba: 0.07631300389766693, Exactitud de prueba: 100.0


resnet data aug - no rotation
    Epoch 1, Perdida: 3.7840607166290283, Exactitud: 32.8125, Perdida de prueba: 1.2608941793441772, Exactitud de prueba: 31.25
    Epoch 2, Perdida: 1.0263780355453491, Exactitud: 56.25, Perdida de prueba: 1.0149606466293335, Exactitud de prueba: 62.5
    Epoch 3, Perdida: 0.8034387826919556, Exactitud: 67.578125, Perdida de prueba: 0.678450345993042, Exactitud de prueba: 87.5
    Epoch 4, Perdida: 0.4468642771244049, Exactitud: 86.015625, Perdida de prueba: 0.299299418926239, Exactitud de prueba: 100.0
    Epoch 5, Perdida: 0.328331857919693, Exactitud: 88.59375, Perdida de prueba: 0.09989425539970398, Exactitud de prueba: 100.0
    Epoch 6, Perdida: 0.17712058126926422, Exactitud: 95.390625, Perdida de prueba: 0.09622527658939362, Exactitud de prueba: 100.0
    Epoch 7, Perdida: 0.0823647603392601, Exactitud: 98.90625, Perdida de prueba: 0.027587000280618668, Exactitud de prueba: 100.0

resnet 2 blocks - data aug - no rotation
    Epoch 1, Perdida: 1.6887298822402954, Exactitud: 31.562501907348633, Perdida de prueba: 1.236488938331604, Exactitud de prueba: 31.25
    Epoch 2, Perdida: 1.103696584701538, Exactitud: 49.609375, Perdida de prueba: 0.9725438952445984, Exactitud de prueba: 56.25
    Epoch 3, Perdida: 0.8107109069824219, Exactitud: 68.90625, Perdida de prueba: 0.7084389328956604, Exactitud de prueba: 75.0
    Epoch 4, Perdida: 0.498772531747818, Exactitud: 82.03125, Perdida de prueba: 0.31301257014274597, Exactitud de prueba: 87.5
    Epoch 5, Perdida: 0.22473637759685516, Exactitud: 93.59375, Perdida de prueba: 0.3416585624217987, Exactitud de prueba: 81.25
    Epoch 6, Perdida: 0.1039557084441185, Exactitud: 97.734375, Perdida de prueba: 0.049131520092487335, Exactitud de prueba: 100.0
    Epoch 7, Perdida: 0.03598069027066231, Exactitud: 99.21875, Perdida de prueba: 0.03232228383421898, Exactitud de prueba: 100.0
